,red,farred,ratio_Neuron,Neuron,l_distance,X,Y,normx,normy,fish_Neuron
20,90.625,94.938,0.2576802088213638,20,67.24493074139626,120.0,166.0,-62.0,2.5,26_11_2024/fish3p2_20
18,94.462,106.538,0.25581828998659206,18,8.09354968495795,161.5,210.0,-20.5,46.5,26_11_2024/fish3p2_18
13,95.143,117.514,0.2552048525260022,13,33.041465829103124,101.986,174.786,-41.013999999999996,27.786,27_11_2024/fish7p1_13
16,93.524,102.048,0.2527772644202142,16,0.7022882940116322,206.5,119.5,35.667,-33.0,26_11_2024/fish7p2_16
7,94.273,104.364,0.25247333075207945,7,38.346217817977255,119.5,191.5,-51.333,39.0,26_11_2024/fish7p2_7
26,88.773,94.045,0.25003575082226853,26,51.79302290304898,188.0,72.5,16.0,-77.5,27_11_2024/fish3p2_26
18,89.062,88.344,0.249799982220641,18,58.22981322971302,172.0,73.0,13.832999999999998,-61.167,26_11_2024/fish9_18
16,106.421,154.421,0.2467425607482477,16,0.6484076078666524,143.605,179.947,0.6049999999999898,32.947,27_11_2024/fish7p1_16
7,104.193,137.228,0.24235657133326222,7,28.387469563743547,136.237,151.184,-21.930000000000007,17.016999999999996,26_11_2024/fish9_7
2,102.865,135.162,0.24126859761030808,2,3.4750314638517357,211.878,145.176,29.877999999999986,-18.324000000000012,26_11_2024/fish3p2_2
6,105.8,154.633,0.24052147845183183,6,5.420759824963311,156.533,157.583,13.532999999999987,10.582999999999998,27_11_2024/fish7p1_6
20,88.917,87.967,0.23933880502783686,20,38.268269599903164,115.5,158.0,-42.667,23.833,26_11_2024/fish9_20
0,93.581,106.484,0.23916847392099316,0,2.682464575239031,205.306,104.274,41.13900000000001,-35.893,26_11_2024/fish4_plane1_0
23,90.692,97.077,0.23758455700379472,23,16.45319895900172,143.0,172.5,-21.167,32.333,26_11_2024/fish4_plane1_23
18,98.057,130.943,0.23386271462684313,18,5.578679935627206,127.071,188.271,-15.929000000000002,41.27099999999999,27_11_2024/fish7p1_18
8,93.571,104.929,0.23376312065237922,8,2.514331037995188,181.881,122.762,33.714,-22.070999999999998,26_11_2024/fish4_plane2_8
11,90.972,98.083,0.23349762710977992,11,6.99993723220944,142.0,140.0,11.5,3.0,27_11_2024/fish7p2_11
6,111.325,165.35,0.2300043015105894,6,4.375064138063729,170.45,189.575,-0.3830000000000098,37.07499999999999,26_11_2024/fish7p2_6
6,94.75,109.4,0.22956841138659315,6,3.307839299483582,190.183,108.3,42.01599999999999,-36.533,26_11_2024/fish4_plane2_6
12,96.308,117.256,0.22709665995263317,12,23.780201228480486,120.09,197.013,-44.077,56.846000000000004,26_11_2024/fish4_plane1_12
2,105.463,158.829,0.22636697841270756,2,19.331322514341565,160.5,133.256,17.5,-13.744,27_11_2024/fish7p1_2
29,89.258,97.129,0.21869449378330338,29,77.85653493985608,148.5,85.5,-23.5,-64.5,27_11_2024/fish3p2_29
4,98.182,124.727,0.21520262909434235,4,7.56361702818297,193.167,165.076,11.167000000000002,1.5759999999999934,26_11_2024/fish3p2_4
15,91.85,102.6,0.21459227467811165,15,15.314746080007792,115.25,221.95,-48.917,81.78299999999999,26_11_2024/fish4_plane1_15
26,89.857,105.821,0.20770839609995523,26,19.835828806828154,80.0,217.0,-63.0,70.0,27_11_2024/fish7p1_26
13,98.848,130.652,0.20738945532289324,13,3.0087966854820722,142.761,199.435,-21.406000000000006,59.268,26_11_2024/fish4_plane1_13
13,89.344,90.125,0.19698454931615414,13,8.499661690677522,162.5,153.0,4.332999999999998,18.833,26_11_2024/fish9_13
17,90.438,95.906,0.196747274167022,17,25.704586092224172,190.0,67.0,41.833,-77.833,26_11_2024/fish4_plane2_17
15,102.422,160.978,0.19382820210411358,15,21.194766193157005,113.456,179.922,-29.543999999999997,32.922,27_11_2024/fish7p1_15
3,98.282,135.128,0.1846854644630679,3,6.98945321863916,146.346,135.987,15.846000000000004,-1.0130000000000052,27_11_2024/fish7p2_3
7,95.2,122.371,0.17976077988522962,7,23.43832772799082,100.071,156.443,-30.429000000000002,19.443000000000012,27_11_2024/fish7p2_7
1,99.056,137.083,0.17915901140763338,1,2.4362611135079657,165.0,133.944,11.167000000000002,6.11099999999999,27_11_2024/fish6p1_1
7,92.73,107.73,0.1770883684141143,7,14.356515657918228,117.311,181.311,-36.52199999999999,53.47800000000001,27_11_2024/fish6p1_7
