,X,Y,theta,radius,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
31,133.864,75.167,4.36062660909447,90.36641181877258,-84.833,-31.135999999999996,102.939,128.667,0.2627533116739139,31,fish7p2_31
122,149.0,50.5,4.567297048471951,110.66277603602758,-109.5,-16.0,94.923,105.538,0.260971492486184,122,fish7p2_122
40,95.5,85.435,3.96213408324638,101.93227764059822,-74.565,-69.5,103.935,132.355,0.2592276419328393,40,fish7p2_40
37,132.804,80.565,4.327311251112747,85.71173572504526,-79.435,-32.196,107.217,142.065,0.2592164053895626,37,fish7p2_37
121,151.0,45.0,4.591245966226767,115.84903970253703,-115.0,-14.0,93.964,102.893,0.25887281256334294,121,fish7p2_121
18,136.5,64.0,4.423801618490613,100.14115038284712,-96.0,-28.5,100.375,122.125,0.25753184974574894,18,fish7p2_18
132,68.0,234.0,2.4898950070465964,122.00409829181969,74.0,-97.0,93.5,101.75,0.25574112734864324,132,fish7p2_132
32,147.611,74.611,4.511491564634544,87.14160109844207,-85.389,-17.38900000000001,101.963,127.852,0.252710448630545,32,fish7p2_32
26,149.98,69.94,4.547132268831695,91.30391010247043,-90.06,-15.02000000000001,100.72,125.92,0.24323673436621987,26,fish7p2_26
113,88.119,221.381,2.467834361475641,98.37842914989038,61.381,-76.881,103.381,134.762,0.24205394588380566,113,fish7p2_113
108,74.075,211.85,2.623335296330416,104.66985299024738,51.849999999999994,-90.925,106.15,143.9,0.2414196299607952,108,fish7p2_108
101,58.01,196.786,2.8104281396628146,113.13739388902327,36.786,-106.99000000000001,110.061,158.714,0.2357602915118167,101,fish7p2_101
109,83.75,212.205,2.5704915884604893,96.57600387777495,52.20500000000001,-81.25,106.295,146.273,0.23531054475820673,109,fish7p2_109
77,33.583,148.417,3.2295047557532186,131.92647110417226,-11.582999999999998,-131.417,96.167,112.583,0.23359768841087528,77,fish7p2_77
117,89.0,232.792,2.3777514493215004,105.23628302063885,72.792,-76.0,99.833,130.083,0.21117559364348873,117,fish7p2_117
115,75.741,228.052,2.490196015415572,112.24189852724338,68.05199999999999,-89.259,99.931,130.517,0.21094705565867206,115,fish7p2_115
114,93.833,225.889,2.3946852765766877,96.98506178788567,65.88900000000001,-71.167,97.444,122.25,0.20467673850255513,114,fish7p2_114
39,152.7,83.58,4.552805004886687,77.40352963528214,-76.42,-12.300000000000011,100.88,137.64,0.199053361862154,39,fish7p2_39
126,161.0,56.5,4.673760861608673,103.57726584535817,-103.5,-4.0,94.154,110.538,0.19462725061850403,126,fish7p2_126
20,139.235,68.824,4.436984514823523,94.7464943995291,-91.176,-25.764999999999986,100.676,138.353,0.1940811360721553,20,fish7p2_20
33,151.421,78.842,4.546608968480583,82.28614831792773,-81.158,-13.579000000000008,109.289,175.132,0.19380414998861853,33,fish7p2_33
38,141.025,84.05,4.406620386879699,79.64422844751526,-75.95,-23.974999999999994,104.425,156.45,0.1890850434626759,38,fish7p2_38
29,166.382,71.794,4.728055566912052,88.21682583271743,-88.206,1.382000000000005,99.157,136.529,0.17884035825669195,29,fish7p2_29
36,164.579,79.553,4.707155768993911,80.44810159351182,-80.447,-0.42099999999999227,98.132,133.5,0.17306114149182641,36,fish7p2_36
110,62.614,215.443,2.6452913593430427,116.43375474921352,55.44300000000001,-102.386,100.429,144.943,0.17246180515562975,110,fish7p2_110
16,170.797,64.338,4.772913741073994,95.83748459240779,-95.662,5.796999999999997,95.595,121.649,0.17084101649794242,16,fish7p2_16
7,170.324,57.618,4.764343511721818,102.52033408061057,-102.382,5.324000000000012,96.912,128.559,0.16949498162716836,7,fish7p2_7
19,176.086,66.121,4.829932799069018,94.53129660064968,-93.879,11.086000000000013,95.448,121.414,0.1687647250179904,19,fish7p2_19
5,156.845,51.224,4.637558386440051,109.08126420701221,-108.77600000000001,-8.155000000000001,95.069,119.655,0.16812597623001752,5,fish7p2_5
